good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Garson müşterilere etleri servis etti.,Garson müşterileri etleri servis etti.,müşterilere,müşterileri,servis etti,argument_structure,ditransitive
Antrenör atletlere beslenme tatbikatı hazırladı.,Antrenör atletleri beslenme tatbikatı hazırladı.,atletlere,atletleri,hazırladı,argument_structure,ditransitive
Arkadaşım bana doğum günü hediyesi aldı.,Arkadaşım beni doğum günü hediyesi aldı.,bana,beni,aldı,argument_structure,ditransitive
Arkadaşım bana yeni bir yorumu önerdi.,Arkadaşım beni yeni bir yorumu önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Mahalledeki çocuklar dükkanın camına yine top atıyor.,Mahalledeki çocuklar dükkanın camını yine top atıyor.,camına,camını,atıyor,argument_structure,ditransitive
Yönetmen oyunculara rollerini dağıttı.,Yönetmen oyuncuları rollerini dağıttı.,oyunculara,oyuncuları,dağıttı,argument_structure,ditransitive
Yönetmen sanatçılara kartlarını dağıttı.,Yönetmen sanatçıları kartlarını dağıttı.,sanatçılara,sanatçıları,dağıttı,argument_structure,ditransitive
Antrenör atletlere beslenme planı hazırladı.,Antrenör atletleri beslenme planı hazırladı.,atletlere,atletleri,hazırladı,argument_structure,ditransitive
Oğlum bisikleti okuluna ödünç verdi.,Oğlum bisikletle okuluna ödünç verdi.,bisikleti,bisikletle,ödünç verdi,argument_structure,ditransitive
Şu halde asistanı belgeleri masasına getirdi.,Şu halde asistanı belgelerle masasına getirdi.,belgeleri,belgelerle,getirdi,argument_structure,ditransitive
Anne bebeğine sütü pille verdi.,Anne bebeğini sütü pille verdi.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Dün gece oğlanı apar topar doktora götürdük.,Dün gece oğlana apar topar doktora götürdük.,oğlanı,oğlana,götürdük,argument_structure,ditransitive
Yönetmen oyunculara pozisyonlarını dağıttı.,Yönetmen oyuncuları pozisyonlarını dağıttı.,oyunculara,oyuncuları,dağıttı,argument_structure,ditransitive
Şirket çalışanlarına yeni sorumluluklar verdi.,Şirket çalışanlarını yeni sorumluluklar verdi.,çalışanlarına,çalışanlarını,verdi,argument_structure,ditransitive
Arkadaşım bana yeni bir kitap önerdi.,Arkadaşım benle yeni bir kitap önerdi.,bana,benle,önerdi,argument_structure,ditransitive
Kasap bana en iyi tavuktan ayırdı.,Kasap beni en iyi tavuktan ayırdı.,bana,beni,ayırdı,argument_structure,ditransitive
Kuzenim kediyi bahçeye götürdü.,Kuzenim kediye bahçeye götürdü.,kediyi,kediye,götürdü,argument_structure,ditransitive
Dileklerini yazdığı kağıdı bir ağacın okuluna bağladı.,Dileklerini yazdığı kağıda bir ağacın okuluna bağladı.,kağıdı,kağıda,bağladı,argument_structure,ditransitive
Gelin gerdanlığı annesine hediye etti.,Gelin gerdanlığa annesine hediye etti.,gerdanlığı,gerdanlığa,hediye etti,argument_structure,ditransitive
Mahalledeki kadınlar dükkanın camına yine top atıyor.,Mahalledeki kadınlar dükkanın camını yine top atıyor.,camına,camını,atıyor,argument_structure,ditransitive
Yönetmen oyunculara son cevapları verdi.,Yönetmen oyuncuları son cevapları verdi.,oyunculara,oyuncuları,verdi,argument_structure,ditransitive
Arkadaşım bana yeni bir müzik önerdi.,Arkadaşım benle yeni bir müzik önerdi.,bana,benle,önerdi,argument_structure,ditransitive
Komşumuz bize taze elma getirdi.,Komşumuz bizi taze elma getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Yanlış tedbirler halkı yoksulluğa mahkum etti.,Yanlış tedbirler halkla yoksulluğa mahkum etti.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Öyle görünüyor ki babam yeni saatini bana verdi.,Öyle görünüyor ki babam yeni saatine bana verdi.,saatini,saatine,verdi,argument_structure,ditransitive
Küçükken ekmeğimi hep kahveye banardım.,Küçükken ekmeğimde hep kahveye banardım.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Mahalledeki aileler dükkanın camına yine top atıyor.,Mahalledeki aileler dükkanın camını yine top atıyor.,camına,camını,atıyor,argument_structure,ditransitive
Teyzem kitapları hayvanlara dağıttı.,Teyzem kitaplara hayvanlara dağıttı.,kitapları,kitaplara,dağıttı,argument_structure,ditransitive
Yönetmen oyunculara kariyerlerini dağıttı.,Yönetmen oyuncuları kariyerlerini dağıttı.,oyunculara,oyuncuları,dağıttı,argument_structure,ditransitive
Arkadaşım bana yılbaşı faturası aldı.,Arkadaşım beni yılbaşı faturası aldı.,bana,beni,aldı,argument_structure,ditransitive
Garson misafirlere kekleri servis etti.,Garson misafirleri kekleri servis etti.,misafirlere,misafirleri,servis etti,argument_structure,ditransitive
Arkadaşım bana doğum günü ikramiyesi aldı.,Arkadaşım beni doğum günü ikramiyesi aldı.,bana,beni,aldı,argument_structure,ditransitive
Küçükken ekmeğimi hep maça banardım.,Küçükken ekmeğimde hep maça banardım.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Antrenör sporculara yeni hareketler öğretti.,Antrenör sporcuları yeni hareketler öğretti.,sporculara,sporcuları,öğretti,argument_structure,ditransitive
Gelin altın bileziği karısına hediye etti.,Gelin altın bilezikle karısına hediye etti.,bileziği,bilezikle,hediye etti,argument_structure,ditransitive
Çocuk dedesine en sevdiği projeyi verdi.,Çocuk dedesini en sevdiği projeyi verdi.,dedesine,dedesini,verdi,argument_structure,ditransitive
Manav bize en lezzetli meyvelerden ayırdı.,Manav bizi en lezzetli meyvelerden ayırdı.,bize,bizi,ayırdı,argument_structure,ditransitive
Dün gece oğlanı apar topar ameliyata götürdük.,Dün gece oğlana apar topar ameliyata götürdük.,oğlanı,oğlana,götürdük,argument_structure,ditransitive
Belli ki babam yeni telefonunu bana verdi.,Belli ki babam yeni telefonuna bana verdi.,telefonunu,telefonuna,verdi,argument_structure,ditransitive
Asistanı belgeleri odasına getirdi.,Asistanı belgelerle odasına getirdi.,belgeleri,belgelerle,getirdi,argument_structure,ditransitive
Belki sana bu konudaki projelerinden bahsetmiştir.,Belki seni bu konudaki projelerinden bahsetmiştir.,sana,seni,bahsetmiştir,argument_structure,ditransitive
Yani arkadaşım bana son gelişmeleri anlattı.,Yani arkadaşım beni son gelişmeleri anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Küçükken ekmeğimi hep salatanın maddene banardım.,Küçükken ekmeğimde hep salatanın maddene banardım.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Şirket personeline yeni hizmetler verdi.,Şirket personelini yeni hizmetler verdi.,personeline,personelini,verdi,argument_structure,ditransitive
Kasap bana en iyi kemikten ayırdı.,Kasap beni en iyi kemikten ayırdı.,bana,beni,ayırdı,argument_structure,ditransitive
Kız kardeşim kediyi veterinere götürdü.,Kız kardeşim kediye veterinere götürdü.,kediyi,kediye,götürdü,argument_structure,ditransitive
Kılçıklarını temizlediğiniz balığı pane galetana bulayın.,Kılçıklarını temizlediğiniz balığa pane galetana bulayın.,balığı,balığa,bulayın,argument_structure,ditransitive
Dileklerini yazdığı kartı bir ormanın dalına bağladı.,Dileklerini yazdığı karta bir ormanın dalına bağladı.,kartı,karta,bağladı,argument_structure,ditransitive
Komşumuz bize taze muz getirdi.,Komşumuz bizi taze muz getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Evlerinin arka bahçesine kiraz ağacı dikmişler.,Evlerinin arka bahçesinden kiraz ağacı dikmişler.,arka bahçesine,arka bahçesinden,dikmişler,argument_structure,ditransitive
Belki size bu konudaki isteklerinden bahsetmiştir.,Belki sizi bu konudaki isteklerinden bahsetmiştir.,size,sizi,bahsetmiştir,argument_structure,ditransitive
Asistanı dosyaları salonuna getirdi.,Asistanı dosyalarla salonuna getirdi.,dosyaları,dosyalarla,getirdi,argument_structure,ditransitive
Dün ekmeği ben aldığım için annem bakkala babamı yolladı.,Dün ekmeği ben aldığım için annem bakkalda babamı yolladı.,bakkala,bakkalda,yolladı,argument_structure,ditransitive
Takı töreninde geline burma kordon taktılar.,Takı töreninde gelini burma kordon taktılar.,geline,gelini,taktılar,argument_structure,ditransitive
Manav bize en lezzetli hayvanlardan ayırdı.,Manav bizi en lezzetli hayvanlardan ayırdı.,bize,bizi,ayırdı,argument_structure,ditransitive
Oğlum bisikleti isine ödünç verdi.,Oğlum bisikletle isine ödünç verdi.,bisikleti,bisikletle,ödünç verdi,argument_structure,ditransitive
Annem abime yeni bir kaset aldı.,Annem abimi yeni bir kaset aldı.,abime,abimi,aldı,argument_structure,ditransitive
Garson misafirlere meyveleri servis etti.,Garson misafirleri meyveleri servis etti.,misafirlere,misafirleri,servis etti,argument_structure,ditransitive
Annem kardeşime yeni bir müzik aldı.,Annem kardeşimi yeni bir müzik aldı.,kardeşime,kardeşimi,aldı,argument_structure,ditransitive
Yönetmen sanatçılara pozisyonlarını dağıttı.,Yönetmen sanatçıları pozisyonlarını dağıttı.,sanatçılara,sanatçıları,dağıttı,argument_structure,ditransitive
Çocuk babasına başka bir mektup okudu.,Çocuk babasını başka bir mektup okudu.,babasına,babasını,okudu,argument_structure,ditransitive
Öğretmen öğrencilere soruları zamanında yapmalarını nasihat etti.,Öğretmen öğrencileri soruları zamanında yapmalarını nasihat etti.,öğrencilere,öğrencileri,nasihat etti,argument_structure,ditransitive
Yönetmen oyunculara son bilgileri verdi.,Yönetmen oyuncuları son bilgileri verdi.,oyunculara,oyuncuları,verdi,argument_structure,ditransitive
Babam bugün parkta lisans öğretmenime rastlamış.,Babam bugün parkı lisans öğretmenime rastlamış.,parkta,parkı,rastlamış,argument_structure,ditransitive
Doğum günüm diye barmen bana limonata ısmarladı.,Doğum günüm diye barmen beni limonata ısmarladı.,bana,beni,ısmarladı,argument_structure,ditransitive
Yönetmen sanatçılara oyunlarını dağıttı.,Yönetmen sanatçıları oyunlarını dağıttı.,sanatçılara,sanatçıları,dağıttı,argument_structure,ditransitive
Babam bugün markette kolej öğretmenime rastlamış.,Babam bugün marketi kolej öğretmenime rastlamış.,markette,marketi,rastlamış,argument_structure,ditransitive
Evlerinin bahçesine zeytin meyveyi dikmişler.,Evlerinin bahçesinden zeytin meyveyi dikmişler.,bahçesine,bahçesinden,dikmişler,argument_structure,ditransitive
Üzerime koca bir fincan şekeri döktüm.,Üzerimde koca bir fincan şekeri döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Arkadaşım bana yeni bir kitap önerdi.,Arkadaşım beni yeni bir kitap önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Manav bize en taze topraklardan ayırdı.,Manav bizi en taze topraklardan ayırdı.,bize,bizi,ayırdı,argument_structure,ditransitive
Belki sana bu konudaki tarzlarından bahsetmiştir.,Belki seni bu konudaki tarzlarından bahsetmiştir.,sana,seni,bahsetmiştir,argument_structure,ditransitive
Arkadaşım bana yeni bir dergi önerdi.,Arkadaşım beni yeni bir dergi önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Öğretmen öğrencilere yeni durumu anlattı.,Öğretmen öğrencileri yeni durumu anlattı.,öğrencilere,öğrencileri,anlattı,argument_structure,ditransitive
Antrenör sporculara antrenman yazılıyı hazırladı.,Antrenör sporcuları antrenman yazılıyı hazırladı.,sporculara,sporcuları,hazırladı,argument_structure,ditransitive
Yanlış eylemler halkı yoksulluğa mahkum etti.,Yanlış eylemler halkla yoksulluğa mahkum etti.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Arkadaşım bana yeni bir kaset önerdi.,Arkadaşım beni yeni bir kaset önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Dün ekmeği ben aldığım için annem bakkala kızımı yolladı.,Dün ekmeği ben aldığım için annem bakkalda kızımı yolladı.,bakkala,bakkalda,yolladı,argument_structure,ditransitive
Kılçıklarını temizlediğiniz mezgiti galeta yumurtana bulayın.,Kılçıklarını temizlediğiniz mezgite galeta yumurtana bulayın.,mezgiti,mezgite,bulayın,argument_structure,ditransitive
Çocuk babasına başka bir tiyatro okudu.,Çocuk babasını başka bir tiyatro okudu.,babasına,babasını,okudu,argument_structure,ditransitive
Oğlum topu annene ödünç verdi.,Oğlum topla annene ödünç verdi.,topu,topla,ödünç verdi,argument_structure,ditransitive
Komşumuz bize taze mantar getirdi.,Komşumuz bizi taze mantar getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Garson müşterilere toplantıları servis etti.,Garson müşterileri toplantıları servis etti.,müşterilere,müşterileri,servis etti,argument_structure,ditransitive
Şirket personeline yeni fikirler verdi.,Şirket personelini yeni fikirler verdi.,personeline,personelini,verdi,argument_structure,ditransitive
Yanlış kararlar halkı haksızlığa mahkum etti.,Yanlış kararlar halkla haksızlığa mahkum etti.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Kız abim kediyi veterinere götürdü.,Kız abim kediye veterinere götürdü.,kediyi,kediye,götürdü,argument_structure,ditransitive
Gelin gerdanlığı evine hediye etti.,Gelin gerdanlığa evine hediye etti.,gerdanlığı,gerdanlığa,hediye etti,argument_structure,ditransitive
Demek ki asistanı belgeleri masasına getirdi.,Demek ki asistanı belgelerle masasına getirdi.,belgeleri,belgelerle,getirdi,argument_structure,ditransitive
Dileklerini yazdığı kartı bir ağacın alanına bağladı.,Dileklerini yazdığı karta bir ağacın alanına bağladı.,kartı,karta,bağladı,argument_structure,ditransitive
Antrenör atletlere beslenme belgeyi hazırladı.,Antrenör atletleri beslenme belgeyi hazırladı.,atletlere,atletleri,hazırladı,argument_structure,ditransitive
Kız arkadaşına dondurmayı hiç düşünmeden verdi.,Kız arkadaşından dondurmayı hiç düşünmeden verdi.,arkadaşına,arkadaşından,verdi,argument_structure,ditransitive
Kılçıklarını temizlediğiniz balığı pane ununa bulayın.,Kılçıklarını temizlediğiniz balığa pane ununa bulayın.,balığı,balığa,bulayın,argument_structure,ditransitive
Çocuk annesine yeni bir filmi söyledi.,Çocuk annesini yeni bir filmi söyledi.,annesine,annesini,söyledi,argument_structure,ditransitive
Komşumuz bize taze balık getirdi.,Komşumuz bizi taze balık getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Yönetmen sanatçılara isimlerini dağıttı.,Yönetmen sanatçıları isimlerini dağıttı.,sanatçılara,sanatçıları,dağıttı,argument_structure,ditransitive
Mahalledeki çocuklar evin camına yine taş atıyor.,Mahalledeki çocuklar evin camını yine taş atıyor.,camına,camını,atıyor,argument_structure,ditransitive
Öğretmen öğrencilere bol bol kitap okumalarını tavsiye etti.,Öğretmen öğrencileri bol bol kitap okumalarını tavsiye etti.,öğrencilere,öğrencileri,tavsiye etti,argument_structure,ditransitive
Kasap bana en güzel kemiklerden ayırdı.,Kasap beni en güzel kemiklerden ayırdı.,bana,benle,ayırdı,argument_structure,ditransitive
Öğretmen öğrencilere etkinleri zamanında yapmalarını nasihat etti.,Öğretmen öğrencileri etkinleri zamanında yapmalarını nasihat etti.,öğrencilere,öğrencileri,nasihat etti,argument_structure,ditransitive
Gelin altın bileziği kocasına hediye etti.,Gelin altın bilezikle kocasına hediye etti.,bileziği,bilezikle,hediye etti,argument_structure,ditransitive
Doğum günüm diye barmen bana votka ısmarladı.,Doğum günüm diye barmen beni votka ısmarladı.,bana,beni,ısmarladı,argument_structure,ditransitive
Mahalledeki ebeveynler dükkanın camına yine top atıyor.,Mahalledeki ebeveynler dükkanın camını yine top atıyor.,camına,camını,atıyor,argument_structure,ditransitive
Yıllardır kendini sadece konuna adamış.,Yıllardır kendinden sadece konuna adamış.,kendini,kendinden,adamış,argument_structure,ditransitive
Arkadaşım bana yeni bir video önerdi.,Arkadaşım benle yeni bir video önerdi.,bana,benle,önerdi,argument_structure,ditransitive
Arkadaşım bana doğum günü anısı aldı.,Arkadaşım beni doğum günü anısı aldı.,bana,beni,aldı,argument_structure,ditransitive
Anne bebeğine suyunu kaşıkla verdi.,Anne bebeğini suyunu kaşıkla verdi.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Demek ki dedem bana eski hikayeler anlattı.,Demek ki dedem beni eski hikayeler anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Çocuk babasına başka bir mani okudu.,Çocuk babasını başka bir mani okudu.,babasına,babasını,okudu,argument_structure,ditransitive
O halde babam yeni saatini bana verdi.,O halde babam yeni saatine bana verdi.,saatini,saatine,verdi,argument_structure,ditransitive
Görünüşe göre babam yeni saatini bana verdi.,Görünüşe göre babam yeni saatine bana verdi.,saatini,saatine,verdi,argument_structure,ditransitive
Manav bize en taze malzemelerden ayırdı.,Manav bizi en taze malzemelerden ayırdı.,bize,bizi,ayırdı,argument_structure,ditransitive
Asistanı belgeleri masasına getirdi.,Asistanı belgelerle masasına getirdi.,belgeleri,belgelerle,getirdi,argument_structure,ditransitive
Belli ki komşumuz bize taze meyve getirdi.,Belli ki komşumuz bizi taze meyve getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Öğretmen öğrencilere yeni farkı öğretti.,Öğretmen öğrencileri yeni farkı öğretti.,öğrencilere,öğrencileri,öğretti,argument_structure,ditransitive
Kılçıklarını temizlediğiniz mezgiti galeta galetana bulayın.,Kılçıklarını temizlediğiniz mezgite galeta galetana bulayın.,mezgiti,mezgite,bulayın,argument_structure,ditransitive
Komşumuz bize taze kavun getirdi.,Komşumuz bizi taze kavun getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Çocuk babasına en sevdiği arabayı verdi.,Çocuk babasını en sevdiği arabayı verdi.,babasına,babasını,verdi,argument_structure,ditransitive
Bu sergiyi neşesini kaybetmeyen kızlara ithaf ediyorum.,Bu sergiye neşesini kaybetmeyen kızlara ithaf ediyorum.,sergiyi,sergiye,ithaf ediyorum,argument_structure,ditransitive
Öğretmen öğrencilere yeni albümü öğretti.,Öğretmen öğrencileri yeni albümü öğretti.,öğrencilere,öğrencileri,öğretti,argument_structure,ditransitive
Annem pastanın üstüne biraz fındık koyar.,Annem pastanın üstünü biraz fındık koyar.,üstüne,üstünü,koyar,argument_structure,ditransitive
Manav bize en lezzetli besinlerden ayırdı.,Manav bizi en lezzetli besinlerden ayırdı.,bize,bizi,ayırdı,argument_structure,ditransitive
Evlerinin bahçesine zeytin ağacı dikmişler.,Evlerinin bahçesinden zeytin ağacı dikmişler.,bahçesine,bahçesinden,dikmişler,argument_structure,ditransitive
Dileklerini yazdığı kağıdı bir ağacın ailene bağladı.,Dileklerini yazdığı kağıda bir ağacın ailene bağladı.,kağıdı,kağıda,bağladı,argument_structure,ditransitive
Arkadaşım bana yeni bir melodiyi önerdi.,Arkadaşım beni yeni bir melodiyi önerdi.,bana,beni,önerdi,argument_structure,ditransitive
Kılçıklarını temizlediğiniz mezgiti galeta ununa bulayın.,Kılçıklarını temizlediğiniz mezgite galeta ununa bulayın.,mezgiti,mezgite,bulayın,argument_structure,ditransitive
Öğretmen öğrencilere yeni kişiyi anlattı.,Öğretmen öğrencileri yeni kişiyi anlattı.,öğrencilere,öğrencileri,anlattı,argument_structure,ditransitive
Şirket çalışanlarına yeni faaliyetler verdi.,Şirket çalışanlarını yeni faaliyetler verdi.,çalışanlarına,çalışanlarını,verdi,argument_structure,ditransitive
Anlaşılan babam yeni saatini bana verdi.,Anlaşılan babam yeni saatine bana verdi.,saatini,saatine,verdi,argument_structure,ditransitive
Kılçıklarını temizlediğiniz mezgiti galeta etine bulayın.,Kılçıklarını temizlediğiniz mezgite galeta etine bulayın.,mezgiti,mezgite,bulayın,argument_structure,ditransitive
Dün gece kızı apar topar eve götürdük.,Dün gece kıza apar topar eve götürdük.,kızı,kıza,götürdük,argument_structure,ditransitive
Antrenör sporculara yeni oyunlar öğretti.,Antrenör sporcuları yeni oyunlar öğretti.,sporculara,sporcuları,öğretti,argument_structure,ditransitive
Evlerinin bahçesine zeytin bitkiyi dikmişler.,Evlerinin bahçesinden zeytin bitkiyi dikmişler.,bahçesine,bahçesinden,dikmişler,argument_structure,ditransitive
Arkadaşım bana doğum günü hatırası aldı.,Arkadaşım beni doğum günü hatırası aldı.,bana,beni,aldı,argument_structure,ditransitive
Belli ki kılçıklarını temizlediğiniz balığı pane ununa bulayın.,Belli ki kılçıklarını temizlediğiniz balığa pane ununa bulayın.,balığı,balığa,bulayın,argument_structure,ditransitive
Arkadaşım bana doğum günü promosyonu aldı.,Arkadaşım beni doğum günü promosyonu aldı.,bana,beni,aldı,argument_structure,ditransitive
Garson müşterilere tarifleri servis etti.,Garson müşterileri tarifleri servis etti.,müşterilere,müşterileri,servis etti,argument_structure,ditransitive
Manav bize en taze bitkilerden ayırdı.,Manav bizi en taze bitkilerden ayırdı.,bize,bizi,ayırdı,argument_structure,ditransitive
Çocuk babasına başka bir şiir okudu.,Çocuk babasını başka bir şiir okudu.,babasına,babasını,okudu,argument_structure,ditransitive
Anne bebeğine sütü kasıkla verdi.,Anne bebeğini sütü kasıkla verdi.,bebeğine,bebeğini,verdi,argument_structure,ditransitive
Babam bugün parkta kolej öğretmenime rastlamış.,Babam bugün parkı kolej öğretmenime rastlamış.,parkta,parkı,rastlamış,argument_structure,ditransitive
Öğretmen öğrencilere dersleri zamanında yapmalarını nasihat etti.,Öğretmen öğrencileri dersleri zamanında yapmalarını nasihat etti.,öğrencilere,öğrencileri,nasihat etti,argument_structure,ditransitive
Komşumuz bize taze sebze getirdi.,Komşumuz bizi taze sebze getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Şu halde dedem bana eski hikayeler anlattı.,Şu halde dedem beni eski hikayeler anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Halam bana el örgüsü bir kazak hediye etti.,Halam beni el örgüsü bir kazak hediye etti.,bana,beni,hediye etti,argument_structure,ditransitive
Arkadaşım bana resital bileti aldı.,Arkadaşım beni resital bileti aldı.,bana,beni,aldı,argument_structure,ditransitive
Annem kardeşime yeni bir dvd aldı.,Annem kardeşimi yeni bir dvd aldı.,kardeşime,kardeşimi,aldı,argument_structure,ditransitive
Küçükken ekmeğimi hep ete banardım.,Küçükken ekmeğimde hep ete banardım.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Kız arkadaşına kakaoyu hiç düşünmeden verdi.,Kız arkadaşından kakaoyu hiç düşünmeden verdi.,arkadaşına,arkadaşından,verdi,argument_structure,ditransitive
Arkadaşım bana doğum günü sertifikası aldı.,Arkadaşım beni doğum günü sertifikası aldı.,bana,beni,aldı,argument_structure,ditransitive
Yıllardır kendini sadece isine adamış.,Yıllardır kendinden sadece isine adamış.,kendini,kendinden,adamış,argument_structure,ditransitive
Yanlış kararlar halkı hukuksuzluğa mahkum etti.,Yanlış kararlar halkla hukuksuzluğa mahkum etti.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Yönetmen oyunculara haklarını dağıttı.,Yönetmen oyuncuları haklarını dağıttı.,oyunculara,oyuncuları,dağıttı,argument_structure,ditransitive
Öğretmen öğrencilere sınavları zamanında yapmalarını nasihat etti.,Öğretmen öğrencileri sınavları zamanında yapmalarını nasihat etti.,öğrencilere,öğrencileri,nasihat etti,argument_structure,ditransitive
Yanlış sistemler halkı yoksulluğa mahkum etti.,Yanlış sistemler halkla yoksulluğa mahkum etti.,halkı,halkla,mahkum etti,argument_structure,ditransitive
Annem abime yeni bir tablo aldı.,Annem abimi yeni bir tablo aldı.,abime,abimi,aldı,argument_structure,ditransitive
Komşumuz bize taze tavuk getirdi.,Komşumuz bizi taze tavuk getirdi.,bize,bizi,getirdi,argument_structure,ditransitive
Öyle görünüyor ki öğretmen öğrencilere yeni konuyu anlattı.,Öyle görünüyor ki öğretmen öğrencileri yeni konuyu anlattı.,öğrencilere,öğrencileri,anlattı,argument_structure,ditransitive
Öğretmen öğrencilere kitapları zamanında yapmalarını nasihat etti.,Öğretmen öğrencileri kitapları zamanında yapmalarını nasihat etti.,öğrencilere,öğrencileri,nasihat etti,argument_structure,ditransitive
O halde arkadaşım bana son gelişmeleri anlattı.,O halde arkadaşım beni son gelişmeleri anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Halam bana el faaliyeti bir kazak hediye etti.,Halam beni el faaliyeti bir kazak hediye etti.,bana,beni,hediye etti,argument_structure,ditransitive
Garson müşterilere yemekleri servis etti.,Garson müşterileri yemekleri servis etti.,müşterilere,müşterileri,servis etti,argument_structure,ditransitive
Küçük çocuk teyzesine mağazadaki telefonu gösterdi.,Küçük çocuk teyzesini mağazadaki telefonu gösterdi.,teyzesine,teyzesini,gösterdi,argument_structure,ditransitive
Kılçıklarını temizlediğiniz balığı pane yumurtana bulayın.,Kılçıklarını temizlediğiniz balığa pane yumurtana bulayın.,balığı,balığa,bulayın,argument_structure,ditransitive
Küçükken ekmeğimi hep yumurtaya banardım.,Küçükken ekmeğimde hep yumurtaya banardım.,ekmeğimi,ekmeğimde,banardım,argument_structure,ditransitive
Dedem torunlarına hatıralar anlattı.,Dedem torunlarını hatıralar anlattı.,torunlarına,torunlarını,anlattı,argument_structure,ditransitive
Arkadaşım bana doğum günü anısı aldı.,Arkadaşım beni doğum günü anısı aldı.,bana,beni,aldı,argument_structure,ditransitive
Takı cenazende damadın yakasına çeyrek altın taktılar.,Takı cenazende damadın yakasını çeyrek altın taktılar.,yakasına,yakasını,taktılar,argument_structure,ditransitive
Üzerime koca bir bardak çayı döktüm.,Üzerimde koca bir bardak çayı döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Halam bana el modeli bir kazak hediye etti.,Halam beni el modeli bir kazak hediye etti.,bana,beni,hediye etti,argument_structure,ditransitive
Antrenör sporculara antrenman projeyi hazırladı.,Antrenör sporcuları antrenman projeyi hazırladı.,sporculara,sporcuları,hazırladı,argument_structure,ditransitive
Yönetmen oyunculara son emirleri verdi.,Yönetmen oyuncuları son emirleri verdi.,oyunculara,oyuncuları,verdi,argument_structure,ditransitive
Mahalledeki çocuklar malın camına yine taş atıyor.,Mahalledeki çocuklar malın camını yine taş atıyor.,camına,camını,atıyor,argument_structure,ditransitive
Annem pastanın üstüne biraz kahve koyar.,Annem pastanın üstünü biraz kahve koyar.,üstüne,üstünü,koyar,argument_structure,ditransitive
Arkadaşım bana tiyatro bileti aldı.,Arkadaşım beni tiyatro bileti aldı.,bana,beni,aldı,argument_structure,ditransitive
Üzerime koca bir fincan suyu döktüm.,Üzerimde koca bir fincan suyu döktüm.,Üzerime,Üzerimde,döktüm,argument_structure,ditransitive
Çocuk dedesine en sevdiği makaleyi verdi.,Çocuk dedesini en sevdiği makaleyi verdi.,dedesine,dedesini,verdi,argument_structure,ditransitive
Halam bana el ipi bir kazak hediye etti.,Halam beni el ipi bir kazak hediye etti.,bana,beni,hediye etti,argument_structure,ditransitive
Kız dostum köpeği komşuya götürdü.,Kız dostum köpeğe komşuya götürdü.,köpeği,köpeğe,götürdü,argument_structure,ditransitive
Ayakkabılarını çıkarıp şapkasını girişteki kasaya astı.,Ayakkabılarını çıkarıp şapkasına girişteki kasaya astı.,şapkasını,şapkasına,astı,argument_structure,ditransitive
Anlaşılan arkadaşım bana son gelişmeleri anlattı.,Anlaşılan arkadaşım beni son gelişmeleri anlattı.,bana,beni,anlattı,argument_structure,ditransitive
Arkadaşım bana konser bileti aldı.,Arkadaşım beni konser bileti aldı.,bana,beni,aldı,argument_structure,ditransitive
Kılçıklarını temizlediğiniz balığı pane lezzetine bulayın.,Kılçıklarını temizlediğiniz balığa pane lezzetine bulayın.,balığı,balığa,bulayın,argument_structure,ditransitive
Yönetmen ekibine son talimatları verdi.,Yönetmen ekibini son talimatları verdi.,ekibine,ekibini,verdi,argument_structure,ditransitive
Arkadaşım bana yeni bir jeneriği önerdi.,Arkadaşım benle yeni bir jeneriği önerdi.,bana,benle,önerdi,argument_structure,ditransitive
Yıllardır kendini sadece partine adamış.,Yıllardır kendinden sadece partine adamış.,kendini,kendinden,adamış,argument_structure,ditransitive
