good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Bu konuya çok omza yordum.,Bu konuyu çok omza yordum.,konuya,konuyu,yordum,argument_structure,transitive
Bu konuya çok omuriliğe yordum.,Bu konuyu çok omuriliğe yordum.,konuya,konuyu,yordum,argument_structure,transitive
Bu konuya çok göze yordum.,Bu konuyu çok göze yordum.,konuya,konuyu,yordum,argument_structure,transitive
Bu konuya çok omurgaya yordum.,Bu konuyu çok omurgaya yordum.,konuya,konuyu,yordum,argument_structure,transitive
Bu konuya çok bacağa yordum.,Bu konuyu çok bacağa yordum.,konuya,konuyu,yordum,argument_structure,transitive
Bu konuya çok vücuda yordum.,Bu konuyu çok vücuda yordum.,konuya,konuyu,yordum,argument_structure,transitive
Bütün gün seni düşündüm.,Bütün gün senden düşündüm.,seni,senden,düşündüm,argument_structure,transitive
Bütün saat seni düşündüm.,Bütün saat senden düşündüm.,seni,senden,düşündüm,argument_structure,transitive
Bütün tarih seni düşündüm.,Bütün tarih senden düşündüm.,seni,senden,düşündüm,argument_structure,transitive
Bütün hafta seni düşündüm.,Bütün hafta senden düşündüm.,seni,senden,düşündüm,argument_structure,transitive
Bütün say seni düşündüm.,Bütün say senden düşündüm.,seni,senden,düşündüm,argument_structure,transitive
Bütün done seni düşündüm.,Bütün done senden düşündüm.,seni,senden,düşündüm,argument_structure,transitive
Bütün takvim seni düşündüm.,Bütün takvim senden düşündüm.,seni,senden,düşündüm,argument_structure,transitive
Bütün ay seni düşündüm.,Bütün ay senden düşündüm.,seni,senden,düşündüm,argument_structure,transitive
Anlaşılan bütün gün seni düşündüm.,Anlaşılan bütün gün senden düşündüm.,seni,senden,düşündüm,argument_structure,transitive
Anlaşılan bu şarkıya bayılıyorum.,Anlaşılan bu şarkıyı bayılıyorum.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
Görünüşe göre bu şarkıya bayılıyorum.,Görünüşe göre bu şarkıyı bayılıyorum.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
Yani bu şarkıya bayılıyorum.,Yani bu şarkıyı bayılıyorum.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
Belli ki bu şarkıya bayılıyorum.,Belli ki bu şarkıyı bayılıyorum.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
O halde bu şarkıya bayılıyorum.,O halde bu şarkıyı bayılıyorum.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
Demek ki bu şarkıya bayılıyorum.,Demek ki bu şarkıyı bayılıyorum.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
Öyle görünüyor ki bu şarkıya bayılıyorum.,Öyle görünüyor ki bu şarkıyı bayılıyorum.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
Anlaşılıyor ki bu şarkıya bayılıyorum.,Anlaşılıyor ki bu şarkıyı bayılıyorum.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
Şu halde bu şarkıya bayılıyorum.,Şu halde bu şarkıyı bayılıyorum.,şarkıya,şarkıyı,bayılıyorum,argument_structure,transitive
Arkadaşımın doğum gününü unuttum.,Arkadaşımın doğum gününe unuttum.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
Şu halde arkadaşımın doğum gününü unuttum.,Şu halde arkadaşımın doğum gününe unuttum.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
Öyle görünüyor ki arkadaşımın doğum gününü unuttum.,Öyle görünüyor ki arkadaşımın doğum gününe unuttum.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
Demek ki arkadaşımın doğum gününü unuttum.,Demek ki arkadaşımın doğum gününe unuttum.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
Belli ki arkadaşımın doğum gününü unuttum.,Belli ki arkadaşımın doğum gününe unuttum.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
Yani arkadaşımın doğum gününü unuttum.,Yani arkadaşımın doğum gününe unuttum.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
O halde arkadaşımın doğum gününü unuttum.,O halde arkadaşımın doğum gününe unuttum.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
Anlaşılan arkadaşımın doğum gününü unuttum.,Anlaşılan arkadaşımın doğum gününe unuttum.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
Görünüşe göre arkadaşımın doğum gününü unuttum.,Görünüşe göre arkadaşımın doğum gününe unuttum.,doğum gününü,doğum gününe,unuttum,argument_structure,transitive
Yarın size de gelirim.,Yarın sizi de gelirim.,size,sizi,gelirim,argument_structure,transitive
Demek ki yarın size de gelirim.,Demek ki yarın sizi de gelirim.,size,sizi,gelirim,argument_structure,transitive
Öyle görünüyor ki yarın size de gelirim.,Öyle görünüyor ki yarın sizi de gelirim.,size,sizi,gelirim,argument_structure,transitive
Anlaşılan yarın size de gelirim.,Anlaşılan yarın sizi de gelirim.,size,sizi,gelirim,argument_structure,transitive
Belli ki yarın size de gelirim.,Belli ki yarın sizi de gelirim.,size,sizi,gelirim,argument_structure,transitive
O halde yarın size de gelirim.,O halde yarın sizi de gelirim.,size,sizi,gelirim,argument_structure,transitive
Görünüşe göre yarın size de gelirim.,Görünüşe göre yarın sizi de gelirim.,size,sizi,gelirim,argument_structure,transitive
Şu halde yarın size de gelirim.,Şu halde yarın sizi de gelirim.,size,sizi,gelirim,argument_structure,transitive
Anlaşılıyor ki yarın size de gelirim.,Anlaşılıyor ki yarın sizi de gelirim.,size,sizi,gelirim,argument_structure,transitive
O halde bu habere çok sevindim.,O halde bu haberi çok sevindim.,habere,haberi,sevindim,argument_structure,transitive
Yani bu habere çok sevindim.,Yani bu haberi çok sevindim.,habere,haberi,sevindim,argument_structure,transitive
Belli ki bu habere çok sevindim.,Belli ki bu haberi çok sevindim.,habere,haberi,sevindim,argument_structure,transitive
Şu halde bu habere çok sevindim.,Şu halde bu haberi çok sevindim.,habere,haberi,sevindim,argument_structure,transitive
Anlaşılıyor ki bu habere çok sevindim.,Anlaşılıyor ki bu haberi çok sevindim.,habere,haberi,sevindim,argument_structure,transitive
Görünüşe göre bu habere çok sevindim.,Görünüşe göre bu haberi çok sevindim.,habere,haberi,sevindim,argument_structure,transitive
Demek ki bu habere çok sevindim.,Demek ki bu haberi çok sevindim.,habere,haberi,sevindim,argument_structure,transitive
Anlaşılan bu habere çok sevindim.,Anlaşılan bu haberi çok sevindim.,habere,haberi,sevindim,argument_structure,transitive
Öyle görünüyor ki bu habere çok sevindim.,Öyle görünüyor ki bu haberi çok sevindim.,habere,haberi,sevindim,argument_structure,transitive
Kedim balkondan düştü.,Kedim balkonu düştü.,balkondan,balkonu,düştü,argument_structure,transitive
Demek ki kedim balkondan düştü.,Demek ki kedim balkonu düştü.,balkondan,balkonu,düştü,argument_structure,transitive
Şu halde kedim balkondan düştü.,Şu halde kedim balkonu düştü.,balkondan,balkonu,düştü,argument_structure,transitive
Öyle görünüyor ki kedim balkondan düştü.,Öyle görünüyor ki kedim balkonu düştü.,balkondan,balkonu,düştü,argument_structure,transitive
Anlaşılıyor ki kedim balkondan düştü.,Anlaşılıyor ki kedim balkonu düştü.,balkondan,balkonu,düştü,argument_structure,transitive
Görünüşe göre kedim balkondan düştü.,Görünüşe göre kedim balkonu düştü.,balkondan,balkonu,düştü,argument_structure,transitive
Anlaşılan kedim balkondan düştü.,Anlaşılan kedim balkonu düştü.,balkondan,balkonu,düştü,argument_structure,transitive
O halde kedim balkondan düştü.,O halde kedim balkonu düştü.,balkondan,balkonu,düştü,argument_structure,transitive
Belli ki kedim balkondan düştü.,Belli ki kedim balkonu düştü.,balkondan,balkonu,düştü,argument_structure,transitive
Annem her zaman bana destek olur.,Annem her zaman beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Annem her saat bana destek olur.,Annem her saat beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Annem her tarih bana destek olur.,Annem her tarih beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Annem her gün bana destek olur.,Annem her gün beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Annem her olay bana destek olur.,Annem her olay beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Annem her faktör bana destek olur.,Annem her faktör beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Annem her say bana destek olur.,Annem her say beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Annem her takvim bana destek olur.,Annem her takvim beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Annem her done bana destek olur.,Annem her done beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Öğretmenimiz bize çok kızdı.,Öğretmenimiz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Belli ki öğretmenimiz bize çok kızdı.,Belli ki öğretmenimiz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Görünüşe göre öğretmenimiz bize çok kızdı.,Görünüşe göre öğretmenimiz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
O halde öğretmenimiz bize çok kızdı.,O halde öğretmenimiz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Şu halde öğretmenimiz bize çok kızdı.,Şu halde öğretmenimiz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Demek ki öğretmenimiz bize çok kızdı.,Demek ki öğretmenimiz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Öyle görünüyor ki öğretmenimiz bize çok kızdı.,Öyle görünüyor ki öğretmenimiz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Anlaşılan öğretmenimiz bize çok kızdı.,Anlaşılan öğretmenimiz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Yani öğretmenimiz bize çok kızdı.,Yani öğretmenimiz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Şu halde bu filme bayılıyoruz.,Şu halde bu filmi bayılıyoruz.,filme,filmi,bayılıyoruz,argument_structure,transitive
Görünüşe göre bu filme bayılıyoruz.,Görünüşe göre bu filmi bayılıyoruz.,filme,filmi,bayılıyoruz,argument_structure,transitive
O halde bu filme bayılıyoruz.,O halde bu filmi bayılıyoruz.,filme,filmi,bayılıyoruz,argument_structure,transitive
Demek ki bu filme bayılıyoruz.,Demek ki bu filmi bayılıyoruz.,filme,filmi,bayılıyoruz,argument_structure,transitive
Belli ki bu filme bayılıyoruz.,Belli ki bu filmi bayılıyoruz.,filme,filmi,bayılıyoruz,argument_structure,transitive
Yani bu filme bayılıyoruz.,Yani bu filmi bayılıyoruz.,filme,filmi,bayılıyoruz,argument_structure,transitive
Öyle görünüyor ki bu filme bayılıyoruz.,Öyle görünüyor ki bu filmi bayılıyoruz.,filme,filmi,bayılıyoruz,argument_structure,transitive
Anlaşılan bu filme bayılıyoruz.,Anlaşılan bu filmi bayılıyoruz.,filme,filmi,bayılıyoruz,argument_structure,transitive
Anlaşılıyor ki bu filme bayılıyoruz.,Anlaşılıyor ki bu filmi bayılıyoruz.,filme,filmi,bayılıyoruz,argument_structure,transitive
Şu halde bu şehri çok seviyorum.,Şu halde bu şehre çok seviyorum.,şehri,şehre,seviyorum,argument_structure,transitive
Demek ki bu şehri çok seviyorum.,Demek ki bu şehre çok seviyorum.,şehri,şehre,seviyorum,argument_structure,transitive
Yani bu şehri çok seviyorum.,Yani bu şehre çok seviyorum.,şehri,şehre,seviyorum,argument_structure,transitive
Anlaşılıyor ki bu şehri çok seviyorum.,Anlaşılıyor ki bu şehre çok seviyorum.,şehri,şehre,seviyorum,argument_structure,transitive
Anlaşılan bu şehri çok seviyorum.,Anlaşılan bu şehre çok seviyorum.,şehri,şehre,seviyorum,argument_structure,transitive
Öyle görünüyor ki bu şehri çok seviyorum.,Öyle görünüyor ki bu şehre çok seviyorum.,şehri,şehre,seviyorum,argument_structure,transitive
Belli ki bu şehri çok seviyorum.,Belli ki bu şehre çok seviyorum.,şehri,şehre,seviyorum,argument_structure,transitive
O halde bu şehri çok seviyorum.,O halde bu şehre çok seviyorum.,şehri,şehre,seviyorum,argument_structure,transitive
Görünüşe göre bu şehri çok seviyorum.,Görünüşe göre bu şehre çok seviyorum.,şehri,şehre,seviyorum,argument_structure,transitive
Görünüşe göre bu gözlüğü çok beğendim.,Görünüşe göre bu gözlüğe çok beğendim.,gözlüğü,gözlüğe,beğendim,argument_structure,transitive
Yani bu gözlüğü çok beğendim.,Yani bu gözlüğe çok beğendim.,gözlüğü,gözlüğe,beğendim,argument_structure,transitive
Şu halde bu gözlüğü çok beğendim.,Şu halde bu gözlüğe çok beğendim.,gözlüğü,gözlüğe,beğendim,argument_structure,transitive
Öyle görünüyor ki bu gözlüğü çok beğendim.,Öyle görünüyor ki bu gözlüğe çok beğendim.,gözlüğü,gözlüğe,beğendim,argument_structure,transitive
Anlaşılıyor ki bu gözlüğü çok beğendim.,Anlaşılıyor ki bu gözlüğe çok beğendim.,gözlüğü,gözlüğe,beğendim,argument_structure,transitive
Belli ki bu gözlüğü çok beğendim.,Belli ki bu gözlüğe çok beğendim.,gözlüğü,gözlüğe,beğendim,argument_structure,transitive
Demek ki bu gözlüğü çok beğendim.,Demek ki bu gözlüğe çok beğendim.,gözlüğü,gözlüğe,beğendim,argument_structure,transitive
O halde bu gözlüğü çok beğendim.,O halde bu gözlüğe çok beğendim.,gözlüğü,gözlüğe,beğendim,argument_structure,transitive
Anlaşılan bu gözlüğü çok beğendim.,Anlaşılan bu gözlüğe çok beğendim.,gözlüğü,gözlüğe,beğendim,argument_structure,transitive
Şu halde yeni bir hobiye başladık.,Şu halde yeni bir hobiyi başladık.,hobiye,hobiyi,başladık,argument_structure,transitive
Demek ki yeni bir hobiye başladık.,Demek ki yeni bir hobiyi başladık.,hobiye,hobiyi,başladık,argument_structure,transitive
O halde yeni bir hobiye başladık.,O halde yeni bir hobiyi başladık.,hobiye,hobiyi,başladık,argument_structure,transitive
Görünüşe göre yeni bir hobiye başladık.,Görünüşe göre yeni bir hobiyi başladık.,hobiye,hobiyi,başladık,argument_structure,transitive
Belli ki yeni bir hobiye başladık.,Belli ki yeni bir hobiyi başladık.,hobiye,hobiyi,başladık,argument_structure,transitive
Yani yeni bir hobiye başladık.,Yani yeni bir hobiyi başladık.,hobiye,hobiyi,başladık,argument_structure,transitive
Öyle görünüyor ki yeni bir hobiye başladık.,Öyle görünüyor ki yeni bir hobiyi başladık.,hobiye,hobiyi,başladık,argument_structure,transitive
Anlaşılıyor ki yeni bir hobiye başladık.,Anlaşılıyor ki yeni bir hobiyi başladık.,hobiye,hobiyi,başladık,argument_structure,transitive
Anlaşılan yeni bir hobiye başladık.,Anlaşılan yeni bir hobiyi başladık.,hobiye,hobiyi,başladık,argument_structure,transitive
O halde bu öneriye sıcak baktı.,O halde bu öneriyi sıcak baktı.,öneriye,öneriyi,baktı,argument_structure,transitive
Şu halde bu öneriye sıcak baktı.,Şu halde bu öneriyi sıcak baktı.,öneriye,öneriyi,baktı,argument_structure,transitive
Yani bu öneriye sıcak baktı.,Yani bu öneriyi sıcak baktı.,öneriye,öneriyi,baktı,argument_structure,transitive
Demek ki bu öneriye sıcak baktı.,Demek ki bu öneriyi sıcak baktı.,öneriye,öneriyi,baktı,argument_structure,transitive
Öyle görünüyor ki bu öneriye sıcak baktı.,Öyle görünüyor ki bu öneriyi sıcak baktı.,öneriye,öneriyi,baktı,argument_structure,transitive
Belli ki bu öneriye sıcak baktı.,Belli ki bu öneriyi sıcak baktı.,öneriye,öneriyi,baktı,argument_structure,transitive
Anlaşılan bu öneriye sıcak baktı.,Anlaşılan bu öneriyi sıcak baktı.,öneriye,öneriyi,baktı,argument_structure,transitive
Görünüşe göre bu öneriye sıcak baktı.,Görünüşe göre bu öneriyi sıcak baktı.,öneriye,öneriyi,baktı,argument_structure,transitive
Anlaşılıyor ki bu öneriye sıcak baktı.,Anlaşılıyor ki bu öneriyi sıcak baktı.,öneriye,öneriyi,baktı,argument_structure,transitive
Anlaşılan komşularımla iyi geçiniyorum.,Anlaşılan komşularımı iyi geçiniyorum.,komşularımla,komşularımı,geçiniyorum,argument_structure,transitive
Belli ki komşularımla iyi geçiniyorum.,Belli ki komşularımı iyi geçiniyorum.,komşularımla,komşularımı,geçiniyorum,argument_structure,transitive
Şu halde komşularımla iyi geçiniyorum.,Şu halde komşularımı iyi geçiniyorum.,komşularımla,komşularımı,geçiniyorum,argument_structure,transitive
Anlaşılıyor ki komşularımla iyi geçiniyorum.,Anlaşılıyor ki komşularımı iyi geçiniyorum.,komşularımla,komşularımı,geçiniyorum,argument_structure,transitive
Demek ki komşularımla iyi geçiniyorum.,Demek ki komşularımı iyi geçiniyorum.,komşularımla,komşularımı,geçiniyorum,argument_structure,transitive
Görünüşe göre komşularımla iyi geçiniyorum.,Görünüşe göre komşularımı iyi geçiniyorum.,komşularımla,komşularımı,geçiniyorum,argument_structure,transitive
Yani komşularımla iyi geçiniyorum.,Yani komşularımı iyi geçiniyorum.,komşularımla,komşularımı,geçiniyorum,argument_structure,transitive
O halde komşularımla iyi geçiniyorum.,O halde komşularımı iyi geçiniyorum.,komşularımla,komşularımı,geçiniyorum,argument_structure,transitive
Öyle görünüyor ki komşularımla iyi geçiniyorum.,Öyle görünüyor ki komşularımı iyi geçiniyorum.,komşularımla,komşularımı,geçiniyorum,argument_structure,transitive
Bu dergi serisine bayıldım.,Bu dergi serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu film serisine bayıldım.,Bu film serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu gazete serisine bayıldım.,Bu gazete serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu defter serisine bayıldım.,Bu defter serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu kaset serisine bayıldım.,Bu kaset serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu makale serisine bayıldım.,Bu makale serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu müzik serisine bayıldım.,Bu müzik serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu dvd serisine bayıldım.,Bu dvd serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu sayfa serisine bayıldım.,Bu sayfa serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Onun yanlıyı söylediğine inanıyorum.,Onun yanlıyı söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Onun duruyu söylediğine inanıyorum.,Onun duruyu söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Onun iyiyi söylediğine inanıyorum.,Onun iyiyi söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Onun kotu söylediğine inanıyorum.,Onun kotu söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Onun yalanı söylediğine inanıyorum.,Onun yalanı söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Demek ki onun doğruyu söylediğine inanıyorum.,Demek ki onun doğruyu söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Anlaşılan onun doğruyu söylediğine inanıyorum.,Anlaşılan onun doğruyu söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Anlaşılıyor ki onun doğruyu söylediğine inanıyorum.,Anlaşılıyor ki onun doğruyu söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Şu halde onun doğruyu söylediğine inanıyorum.,Şu halde onun doğruyu söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Tatile çıkma fikrine çok ısındım.,Tatile çıkma fikrini çok ısındım.,fikrine,fikrini,ısındım,argument_structure,transitive
Demek ki tatile çıkma fikrine çok ısındım.,Demek ki tatile çıkma fikrini çok ısındım.,fikrine,fikrini,ısındım,argument_structure,transitive
Görünüşe göre tatile çıkma fikrine çok ısındım.,Görünüşe göre tatile çıkma fikrini çok ısındım.,fikrine,fikrini,ısındım,argument_structure,transitive
Şu halde tatile çıkma fikrine çok ısındım.,Şu halde tatile çıkma fikrini çok ısındım.,fikrine,fikrini,ısındım,argument_structure,transitive
O halde tatile çıkma fikrine çok ısındım.,O halde tatile çıkma fikrini çok ısındım.,fikrine,fikrini,ısındım,argument_structure,transitive
Anlaşılan tatile çıkma fikrine çok ısındım.,Anlaşılan tatile çıkma fikrini çok ısındım.,fikrine,fikrini,ısındım,argument_structure,transitive
Belli ki tatile çıkma fikrine çok ısındım.,Belli ki tatile çıkma fikrini çok ısındım.,fikrine,fikrini,ısındım,argument_structure,transitive
Öyle görünüyor ki tatile çıkma fikrine çok ısındım.,Öyle görünüyor ki tatile çıkma fikrini çok ısındım.,fikrine,fikrini,ısındım,argument_structure,transitive
Yani tatile çıkma fikrine çok ısındım.,Yani tatile çıkma fikrini çok ısındım.,fikrine,fikrini,ısındım,argument_structure,transitive
Yani bu duruma çok üzüldüler.,Yani bu durumu çok üzüldüler.,duruma,durumu,üzüldüler,argument_structure,transitive
Şu halde bu duruma çok üzüldüler.,Şu halde bu durumu çok üzüldüler.,duruma,durumu,üzüldüler,argument_structure,transitive
Anlaşılan bu duruma çok üzüldüler.,Anlaşılan bu durumu çok üzüldüler.,duruma,durumu,üzüldüler,argument_structure,transitive
Belli ki bu duruma çok üzüldüler.,Belli ki bu durumu çok üzüldüler.,duruma,durumu,üzüldüler,argument_structure,transitive
Öyle görünüyor ki bu duruma çok üzüldüler.,Öyle görünüyor ki bu durumu çok üzüldüler.,duruma,durumu,üzüldüler,argument_structure,transitive
Demek ki bu duruma çok üzüldüler.,Demek ki bu durumu çok üzüldüler.,duruma,durumu,üzüldüler,argument_structure,transitive
Görünüşe göre bu duruma çok üzüldüler.,Görünüşe göre bu durumu çok üzüldüler.,duruma,durumu,üzüldüler,argument_structure,transitive
Anlaşılıyor ki bu duruma çok üzüldüler.,Anlaşılıyor ki bu durumu çok üzüldüler.,duruma,durumu,üzüldüler,argument_structure,transitive
O halde bu duruma çok üzüldüler.,O halde bu durumu çok üzüldüler.,duruma,durumu,üzüldüler,argument_structure,transitive
Yeni projeye başlamaya karar verdiler.,Yeni projeye başlamayı karar verdiler.,başlamaya,başlamayı,karar verdiler,argument_structure,transitive
Yeni hizmete başlamaya karar verdiler.,Yeni hizmete başlamayı karar verdiler.,başlamaya,başlamayı,karar verdiler,argument_structure,transitive
Yeni filme başlamaya karar verdiler.,Yeni filme başlamayı karar verdiler.,başlamaya,başlamayı,karar verdiler,argument_structure,transitive
Yeni taka başlamaya karar verdiler.,Yeni taka başlamayı karar verdiler.,başlamaya,başlamayı,karar verdiler,argument_structure,transitive
Yeni firmaya başlamaya karar verdiler.,Yeni firmaya başlamayı karar verdiler.,başlamaya,başlamayı,karar verdiler,argument_structure,transitive
Yeni modele başlamaya karar verdiler.,Yeni modele başlamayı karar verdiler.,başlamaya,başlamayı,karar verdiler,argument_structure,transitive
Görünüşe göre yeni projeye başlamaya karar verdiler.,Görünüşe göre yeni projeye başlamayı karar verdiler.,başlamaya,başlamayı,karar verdiler,argument_structure,transitive
Öyle görünüyor ki yeni projeye başlamaya karar verdiler.,Öyle görünüyor ki yeni projeye başlamayı karar verdiler.,başlamaya,başlamayı,karar verdiler,argument_structure,transitive
Yani yeni projeye başlamaya karar verdiler.,Yani yeni projeye başlamayı karar verdiler.,başlamaya,başlamayı,karar verdiler,argument_structure,transitive
Anlaşılan onun tepkisine çok şaşırdım.,Anlaşılan onun tepkisini çok şaşırdım.,tepkisine,tepkisini,şaşırdım,argument_structure,transitive
Şu halde onun tepkisine çok şaşırdım.,Şu halde onun tepkisini çok şaşırdım.,tepkisine,tepkisini,şaşırdım,argument_structure,transitive
O halde onun tepkisine çok şaşırdım.,O halde onun tepkisini çok şaşırdım.,tepkisine,tepkisini,şaşırdım,argument_structure,transitive
Belli ki onun tepkisine çok şaşırdım.,Belli ki onun tepkisini çok şaşırdım.,tepkisine,tepkisini,şaşırdım,argument_structure,transitive
Anlaşılıyor ki onun tepkisine çok şaşırdım.,Anlaşılıyor ki onun tepkisini çok şaşırdım.,tepkisine,tepkisini,şaşırdım,argument_structure,transitive
Görünüşe göre onun tepkisine çok şaşırdım.,Görünüşe göre onun tepkisini çok şaşırdım.,tepkisine,tepkisini,şaşırdım,argument_structure,transitive
Yani onun tepkisine çok şaşırdım.,Yani onun tepkisini çok şaşırdım.,tepkisine,tepkisini,şaşırdım,argument_structure,transitive
Öyle görünüyor ki onun tepkisine çok şaşırdım.,Öyle görünüyor ki onun tepkisini çok şaşırdım.,tepkisine,tepkisini,şaşırdım,argument_structure,transitive
Demek ki onun tepkisine çok şaşırdım.,Demek ki onun tepkisini çok şaşırdım.,tepkisine,tepkisini,şaşırdım,argument_structure,transitive
O halde bu tabloya hayran kaldım.,O halde bu tabloyu hayran kaldım.,tabloya,tabloyu,hayran kaldım,argument_structure,transitive
Yani bu tabloya hayran kaldım.,Yani bu tabloyu hayran kaldım.,tabloya,tabloyu,hayran kaldım,argument_structure,transitive
Belli ki bu tabloya hayran kaldım.,Belli ki bu tabloyu hayran kaldım.,tabloya,tabloyu,hayran kaldım,argument_structure,transitive
Anlaşılıyor ki bu tabloya hayran kaldım.,Anlaşılıyor ki bu tabloyu hayran kaldım.,tabloya,tabloyu,hayran kaldım,argument_structure,transitive
Görünüşe göre bu tabloya hayran kaldım.,Görünüşe göre bu tabloyu hayran kaldım.,tabloya,tabloyu,hayran kaldım,argument_structure,transitive
Öyle görünüyor ki bu tabloya hayran kaldım.,Öyle görünüyor ki bu tabloyu hayran kaldım.,tabloya,tabloyu,hayran kaldım,argument_structure,transitive
Demek ki bu tabloya hayran kaldım.,Demek ki bu tabloyu hayran kaldım.,tabloya,tabloyu,hayran kaldım,argument_structure,transitive
Şu halde bu tabloya hayran kaldım.,Şu halde bu tabloyu hayran kaldım.,tabloya,tabloyu,hayran kaldım,argument_structure,transitive
Anlaşılan bu tabloya hayran kaldım.,Anlaşılan bu tabloyu hayran kaldım.,tabloya,tabloyu,hayran kaldım,argument_structure,transitive
Ona büyük sevgi duyuyorum.,Onu büyük sevgi duyuyorum.,ona,onu,duyuyorum,argument_structure,transitive
Ona büyük nezaket duyuyorum.,Onu büyük nezaket duyuyorum.,ona,onu,duyuyorum,argument_structure,transitive
Ona büyük onur duyuyorum.,Onu büyük onur duyuyorum.,ona,onu,duyuyorum,argument_structure,transitive
Ona büyük ilgi duyuyorum.,Onu büyük ilgi duyuyorum.,ona,onu,duyuyorum,argument_structure,transitive
Ona büyük hayran duyuyorum.,Onu büyük hayran duyuyorum.,ona,onu,duyuyorum,argument_structure,transitive
Ona büyük rica duyuyorum.,Onu büyük rica duyuyorum.,ona,onu,duyuyorum,argument_structure,transitive
Ona büyük saygı duyuyorum.,Onu büyük saygı duyuyorum.,ona,onu,duyuyorum,argument_structure,transitive
Ona büyük takdir duyuyorum.,Onu büyük takdir duyuyorum.,ona,onu,duyuyorum,argument_structure,transitive
Ona büyük şeref duyuyorum.,Onu büyük şeref duyuyorum.,ona,onu,duyuyorum,argument_structure,transitive
Anlaşılan yeni bir işe girdim.,Anlaşılan yeni bir işi girdim.,işe,işi,girdim,argument_structure,transitive
Anlaşılıyor ki yeni bir işe girdim.,Anlaşılıyor ki yeni bir işi girdim.,işe,işi,girdim,argument_structure,transitive
Görünüşe göre yeni bir işe girdim.,Görünüşe göre yeni bir işi girdim.,işe,işi,girdim,argument_structure,transitive
Belli ki yeni bir işe girdim.,Belli ki yeni bir işi girdim.,işe,işi,girdim,argument_structure,transitive
Öyle görünüyor ki yeni bir işe girdim.,Öyle görünüyor ki yeni bir işi girdim.,işe,işi,girdim,argument_structure,transitive
